#Generated on 2010年  8月 12日 木曜日 16:59:42 JST
#by ~satre/public_html/biocreative/data/IAT/build_geneIndex.perl
#from index.txt
#and from annotations.txt
#PMID 	freq-in-abstract
10037800	8
10037815	11
10037816	7
10064544	8
10076007	7
10101186	10
10101190	13
10198427	16
10198428	6
10198430	9
10198435	5
10198440	4
10219077	1
10219078	7
10219083	12
10219085	15
10219087	2
10219089	11
10219091	10
10231001	13
10231004	3
10325410	7
10325416	6
10325421	5
10325425	4
10325428	6
10325430	11
10325431	6
10352172	3
10352175	10
10352183	6
10359848	10
10373574	9
10373577	9
10373582	17
10373583	11
10373601	2
10390527	6
10390538	14
10390541	7
10446227	10
10446232	5
10446233	5
10446239	5
10446242	6
10446244	5
10449265	7
10454592	6
10454593	14
10454610	7
10454611	8
10454630	9
10454634	5
10454640	7
10454645	12
10454647	7
10454648	4
10471730	5
10471731	14
10471732	1
10471735	7
10471737	6
10471743	8
10471746	15
10471747	12
10471751	7
10481015	8
10481021	10
10481026	10
10481029	5
10497258	6
10497259	2
10497264	13
10497265	7
10497266	1
10497270	10
10497273	4
10497274	12
10497277	11
10497278	11
10518602	9
10518610	7
10518611	6
10518623	17
10536140	11
10536152	10
10536154	5
10536157	7
10536163	8
10556311	15
10556313	11
10556316	5
10556317	7
10556323	11
10572165	1
10572171	9
10572182	12
10592175	2
10592181	4
10592204	3
10592213	1
10592214	3
10592242	1
10606635	2
10606637	6
10606652	8
10606656	8
10606657	11
10606664	15
10606672	7
10606675	2
10620525	4
10636473	9
10636478	4
106370	1
106371	4
10637318	8
10637323	8
10637328	7
10637334	13
10637336	11
10648775	4
10648783	7
10648785	12
10648788	13
10648791	14
10648795	9
10666446	7
10666450	6
10666455	6
10666468	8
10684927	7
10684929	8
10684930	9
10684934	4
10684935	6
10684936	7
10684940	8
10684944	12
10684946	8
10704052	5
10710415	1
10710420	10
10710424	10
10710432	11
10710437	12
10710439	4
10734185	12
10734189	6
10734193	9
10734197	6
10734202	8
10734204	7
10756185	12
10756190	16
10756191	9
10756192	5
10756195	12
10756197	4
10756201	14
10756202	13
10756203	7
10773068	3
10773070	2
10773072	13
10773077	11
10773089	6
10773092	5
10793655	9
10871356	8
10871357	10
10871362	2
10871363	6
10871368	6
10871373	7
10871375	5
10871376	7
10871379	9
10871395	9
10871396	10
10871397	16
10871399	10
10871400	12
10871401	8
10871402	5
10871403	2
10871404	4
10871408	10
10871409	3
10900456	12
10908316	7
10908322	6
10908327	11
10908331	9
10908334	6
10908335	11
10908343	1
10908344	10
10908348	6
10908350	16
10908351	5
1091919	1
10931916	3
10931920	5
10931922	5
10931934	2
10954585	1
10954586	15
10954591	3
10954592	7
10954595	8
10954596	7
10954598	4
10954604	6
109811	10
10982859	7
10982862	15
10982864	7
10982866	6
10982868	2
10982869	3
10982874	7
